City, Country, Population, Area (sq. km), GDP ($), Major Landmark, Climate, Language, Currency, Timezone, Mayor, Famous for, Tourist Attractions, Airport Code, Hotel Name, Restaurant Name, Museum Name, Park Name, Population Density (/sq. km), Annual Visitors, Average Temperature (Celsius), Annual Rainfall (mm), Elevation (m), Public Transportation, Universities, Sports Teams, Famous Festivals, Famous Foods, Major Industries
Istanbul, Turkey, 15401025, 5461, 537000000000, Hagia Sophia, Mediterranean, Turkish, Turkish Lira, UTC+3, Ekrem İmamoğlu, Culture, Topkapı Palace, IST, Four Seasons Hotel Istanbul at Sultanahmet, Ciya Sofrası, Istanbul Archaeology Museums, Emirgan Park, 2820, 15100000, 14, 844, 39, Metro, Boğaziçi University, Galatasaray S.K., Istanbul Tulip Festival, Kebab, Tourism
Bangkok, Thailand, 8271051, 1568.7, 403000000000, Grand Palace, Tropical, Thai, Thai Baht, UTC+7, Aswin Kwanmuang, Temples, Wat Phra Kaew, BKK, Mandarin Oriental, Nahm, Bangkok National Museum, Lumpini Park, 5282, 22700000, 28, 1500, 1, BTS Skytrain, Chulalongkorn University, Bangkok United F.C., Songkran, Pad Thai, Tourism
Sydney, Australia, 5312163, 12144.6, 580000000000, Sydney Opera House, Temperate, English, Australian Dollar, UTC+10, Clover Moore, Harbour, Sydney Harbour Bridge, SYD, Park Hyatt Sydney, Quay, Art Gallery of New South Wales, Royal Botanic Garden Sydney, 437, 15500000, 20, 1213, 19, Train, University of Sydney, Sydney Swans, Sydney New Year's Eve, Meat Pie, Finance
Dubai, UAE, 3133322, 4114, 414000000000, Burj Khalifa, Desert, Arabic, UAE Dirham, UTC+4, Sheikh Mohammed bin Rashid Al Maktoum, Luxury, Burj Al Arab, Al Mahara, Dubai Museum, Dubai Miracle Garden, 761, 16700000, 26, 99, 52, Metro, American University in Dubai, Al-Ahli Dubai FC, Dubai Shopping Festival, Shawarma, Tourism
Shanghai, China, 24183300, 6340.5, 535000000000, Oriental Pearl Tower, Humid subtropical, Mandarin, Renminbi, UTC+8, Gong Zheng, Finance, The Bund, PVG, The Peninsula Shanghai, Ultraviolet by Paul Pairet, Shanghai Museum, People's Park, 3820, 30600000, 16, 1136, 4, Metro, Fudan University, Shanghai SIPG F.C., Chinese New Year, Xiao long bao, Finance
Seoul, South Korea, 9776000, 605.21, 1640000000000, Gyeongbokgung Palace, Temperate, Korean, South Korean Won, UTC+9, Oh Se-hoon, Technology, N Seoul Tower, ICN, The Shilla Seoul, Jungsik, National Museum of Korea, Olympic Park, 16165, 17200000, 12, 1462, 38, Subway, Seoul National University, FC Seoul, Seollal, Kimchi, Technology
Singapore, Singapore, 5704000, 728.6, 372000000000, Marina Bay Sands, Tropical rainforest, English, Singapore Dollar, UTC+8, Heng Swee Keat, Trade, Gardens by the Bay, SIN, Marina Bay Sands, Burnt Ends, ArtScience Museum, Gardens by the Bay, 7815, 19600000, 27, 2346, 15, MRT, National University of Singapore, Singapore Lions, Chinese New Year, Chili Crab, Trade
Rome, Italy, 2870493, 1285.31, 2260000000000, Colosseum, Mediterranean, Italian, Euro, UTC+1, Virginia Raggi, History, Vatican City, FCO, Hotel Hassler Roma, La Pergola, Vatican Museums, Villa Borghese, 2235, 12100000, 15, 891, 21, Metro, Sapienza University of Rome, AS Roma, Carnevale, Pasta, Tourism
Mumbai, India, 18414288, 603.4, 370000000000, Gateway of India, Tropical, Hindi, Indian Rupee, UTC+5:30, Kishori Pednekar, Bollywood, Marine Drive, BOM, Taj Mahal Palace, Gajalee, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Sanjay Gandhi National Park, 30496, 21500000, 27, 2310, 14, Local Train, University of Mumbai, Mumbai Indians, Diwali, Vada Pav, Finance
Toronto, Canada, 2930000, 630.21, 276000000000, CN Tower, Humid continental, English, Canadian Dollar, UTC-5, John Tory, Diversity, Royal Ontario Museum, YYZ, The Ritz-Carlton, Canoe, Art Gallery of Ontario, High Park, 4652, 27400000, 8, 831, 76, TTC, University of Toronto, Toronto Maple Leafs, Toronto International Film Festival, Poutine, Technology
São Paulo, Brazil, 12106920, 1521, 530000000000, São Paulo Museum of Art, Subtropical, Portuguese, Brazilian Real, UTC-3, Ricardo Nunes, Culture, Ibirapuera Park, GRU, Emiliano Hotel, D.O.M., São Paulo Museum of Art, Ibirapuera Park, 7963, 15700000, 21, 1455, 760, Metro, University of São Paulo, São Paulo FC, Carnival, Feijoada, Finance
Jakarta, Indonesia, 10187595, 662.33, 483000000000, National Monument, Tropical, Indonesian, Indonesian Rupiah, UTC+7, Anies Baswedan, Culture, Ancol Dreamland, CGK, The Ritz-Carlton Jakarta, Nasi Goreng, National Museum of Indonesia, Taman Mini Indonesia Indah, 15376, 16000000, 27, 2069, 8, TransJakarta, University of Indonesia, Persija Jakarta, Jakarta Fair, Satay, Trade
Delhi, India, 30236316, 1484, 300000000000, India Gate, Semi-arid, Hindi, Indian Rupee, UTC+5:30, Arvind Kejriwal, History, Qutub Minar, DEL, The Leela Palace New Delhi, Indian Accent, National Museum, Lodhi Gardens, 20389, 18500000, 25, 714, 220, Metro, University of Delhi, Delhi Capitals, Diwali, Butter Chicken, Tourism
